ID,Class
1,0.358678
2,0.637022
3,0.483798
4,0.435575
5,0.295296
6,0.212602
7,0.271662
8,0.337378
9,0.377595
10,0.201582
11,0.496394
12,0.54585
13,0.28061
14,0.617487
15,0.348788
16,0.35434
17,0.354537
18,0.578946
19,0.344441
20,0.385986
21,0.387403
22,0.339198
23,0.507988
24,0.463261
25,0.259687
26,0.394463
27,0.393924
28,0.38122
29,0.398517
30,0.471734
31,0.370159
32,0.243973
33,0.360454
34,0.281592
35,0.396091
36,0.289748
37,0.380216
38,0.306406
39,0.425054
40,0.377005
41,0.348353
42,0.475417
43,0.400954
44,0.480268
45,0.306911
46,0.460559
47,0.433984
48,0.527234
49,0.440613
50,0.388826
51,0.380776
52,0.569295
53,0.354337
54,0.735627
55,0.508275
56,0.511917
57,0.315885
58,0.319331
59,0.404991
60,0.4466
61,0.439206
62,0.523097
63,0.369267
64,0.369501
65,0.386966
66,0.544945
67,0.317325
68,0.344864
69,0.264143
70,0.463573
71,0.381402
72,0.422975
73,0.347125
74,0.258646
75,0.269263
76,0.571935
77,0.226928
78,0.537402
79,0.317587
80,0.361345
81,0.360861
82,0.739804
83,0.416823
84,0.318269
85,0.327134
86,0.490116
87,0.613179
88,0.308216
89,0.337751
90,0.291408
91,0.542611
92,0.498106
93,0.449108
94,0.465899
95,0.456142
96,0.384455
97,0.535464
98,0.497343
99,0.395214
100,0.321028
101,0.241089
102,0.347027
103,0.510318
104,0.369302
105,0.406191
106,0.449195
107,0.393598
108,0.448941
109,0.398541
110,0.292369
111,0.333307
112,0.36605
113,0.360662
114,0.271656
115,0.366916
116,0.225129
117,0.269131
118,0.438473
119,0.39654
120,0.581189
121,0.457694
122,0.374488
123,0.399695
124,0.330206
125,0.275128
126,0.410889
127,0.392404
128,0.26964
129,0.587051
130,0.291812
131,0.223368
132,0.427943
133,0.388925
134,0.461193
135,0.528708
136,0.449077
137,0.303068
138,0.450923
139,0.39702
140,0.400566
141,0.396615
142,0.375584
143,0.348756
144,0.643569
145,0.598339
146,0.341179
147,0.451664
148,0.456726
149,0.319594
150,0.537249
151,0.233553
152,0.429546
153,0.398768
154,0.364701
155,0.410248
156,0.723476
157,0.591044
158,0.266563
159,0.329387
160,0.253368
161,0.372467
162,0.297018
163,0.476884
164,0.580701
165,0.558077
166,0.417828
167,0.350308
168,0.38566
169,0.298236
170,0.322413
171,0.616778
172,0.527631
173,0.351589
174,0.419463
175,0.245696
176,0.255485
177,0.475811
178,0.682905
179,0.303976
180,0.419628
181,0.223366
182,0.520587
183,0.413902
184,0.432981
185,0.309062
186,0.42831
187,0.34747
188,0.432541
189,0.448675
190,0.421962
191,0.300279
192,0.494319
193,0.308265
194,0.245383
195,0.662105
196,0.36307
197,0.732544
198,0.479677
199,0.374886
200,0.597496
201,0.502607
202,0.490776
203,0.49109
204,0
205,0.232468
206,0.358275
207,0.352638
208,0.621899
209,0.459285
210,0.246013
211,0.282718
212,0.359054
213,0.322068
214,0.31306
215,0.400567
216,0.433847
217,0.38804
218,0.413299
219,0.218493
220,0.384519
221,0.4728
222,0.404671
223,0.296449
224,0.334782
225,0.623573
226,0.305025
227,0.643911
228,0.505786
229,0.34777
230,0.428721
231,0.539407
232,0.73355
233,0.476237
234,0.544298
235,0.324657
236,0.476964
237,0.481238
238,0.624567
239,0.653862
240,0.550323
241,0.618279
242,0.285303
243,0.301709
244,0.347048
245,0.655328
246,0.476305
247,0.239426
248,0.329202
249,0.293508
250,0.528164
251,0.251953
252,0.347614
253,0.447166
254,0.319205
255,0.438569
256,0.34063
257,0.489764
258,0.409872
259,0.424845
260,0.329055
261,0.416988
262,0.546997
263,0.375531
264,0.445099
265,0.554698
266,0.308136
267,0.257265
268,0.676595
269,0.520564
270,0.483806
271,0.233164
272,0.452981
273,0.449942
274,0.416525
275,0.525726
276,0.233293
