"ID","Class"
1,0.315656787904634
2,0.512667417889791
3,0.557943857386551
4,0.434272814918681
5,0.286658541558051
6,0.259202068060076
7,0.294072128178589
8,0.262582736653556
9,0.334101029324232
10,0.155998127283412
11,0.531469335992808
12,0.473620611563176
13,0.282808933385628
14,0.617535352947684
15,0.369105839212354
16,0.318662869716971
17,0.360318906634639
18,0.565128709379943
19,0.30568631694606
20,0.370203895186724
21,0.462649835096734
22,0.326528202556646
23,0.444452760192058
24,0.450013554861029
25,0.337262624058728
26,0.362858123784515
27,0.369473417826837
28,0.433973957359353
29,0.382859549659084
30,0.415993909287573
31,0.377005814855299
32,0.257752959911579
33,0.34912449493873
34,0.255727496199552
35,0.374334088702076
36,0.300319541204144
37,0.426317073008434
38,0.336436506988747
39,0.371514027398751
40,0.406053816315746
41,0.315614054919023
42,0.41958358381246
43,0.37991178684655
44,0.455520586782682
45,0.271007123235149
46,0.416571023042356
47,0.412459814392323
48,0.506195286887606
49,0.403437632170045
50,0.382598284508677
51,0.384431147859831
52,0.552382202288157
53,0.367791791965591
54,0.770529691499696
55,0.400654479659103
56,0.489480593099208
57,0.328960309528811
58,0.307791247355556
59,0.322803215048562
60,0.396170132023464
61,0.471803444693646
62,0.48517391463377
63,0.328578951264596
64,0.37112033420075
65,0.3260864289772
66,0.55225430669595
67,0.323820056244264
68,0.319391887724342
69,0.328993599787078
70,0.533850287014743
71,0.398951436337419
72,0.373828950177829
73,0.321186625636084
74,0.289153833451546
75,0.290648888847166
76,0.549346191719156
77,0.225813235718114
78,0.41190322433897
79,0.362096093298484
80,0.375768508072479
81,0.382916988583183
82,0.639486795030077
83,0.38413648601879
84,0.309187184590842
85,0.321873231165825
86,0.45713694844696
87,0.637267986544158
88,0.326137570553469
89,0.294823602503986
90,0.274407813691207
91,0.498803787185738
92,0.448223935966694
93,0.439407555289059
94,0.441131154036519
95,0.426379022549909
96,0.360240826157671
97,0.472446190175424
98,0.403509179460302
99,0.367167344041309
100,0.330661185882194
101,0.279724895362854
